,date,age,type,quantity,weight,price_min,price_max,price_avg,price_unit,category
1,2013-12-03,XX,VE,11,451,2600,2840,2747,1236044,HEMBRA DE 1a
2,2013-12-03,XX,TO,29,514,3100,3120,3113,1603065,MACHO DE 1a
3,2013-12-03,3,HV,1,410,2560,2560,2560,1049600,HEMBRA DE 2a
4,2013-12-03,XX,VE,10,471,2440,2680,2585,1202980,HEMBRA DE 2a
5,2013-12-03,XX,TO,2,686,2640,2940,2790,1930740,MACHO DE 2a
0,2013-12-05,DEST,HL,3,109,2600,2600,2600,284267,HEMBRA DE 1a
1,2013-12-05,1,HL,34,146,2750,2900,2825,422094,HEMBRA DE 1a
2,2013-12-05,1 1/4,HL,16,161,2750,2950,2850,463194,HEMBRA DE 1a
3,2013-12-05,1 1/2,HL,67,193,2700,2950,2817,552360,HEMBRA DE 1a
4,2013-12-05,1 3/4,HL,47,241,2500,2750,2658,650406,HEMBRA DE 1a
5,2013-12-05,2,HV,13,272,2800,2820,2810,767065,HEMBRA DE 1a
6,2013-12-05,2 1/4,HV,81,298,2600,2950,2744,816325,HEMBRA DE 1a
7,2013-12-05,2 1/2,HV,17,333,2550,2700,2658,893186,HEMBRA DE 1a
8,2013-12-05,2 3/4,HV,16,381,2800,2800,2800,1067850,HEMBRA DE 1a
9,2013-12-05,3,HV,1,494,2640,2640,2640,1304160,HEMBRA DE 1a
10,2013-12-05,XX,VE,80,444,2540,2840,2651,1177604,HEMBRA DE 1a
11,2013-12-05,1,ML,5,144,3400,3400,3400,490960,MACHO DE 1a
12,2013-12-05,1 1/4,ML,22,173,3400,3550,3475,605441,MACHO DE 1a
13,2013-12-05,1 1/2,ML,76,199,2900,3550,3250,667179,MACHO DE 1a
14,2013-12-05,1 3/4,ML,97,239,3250,3300,3290,788624,MACHO DE 1a
15,2013-12-05,2,MC,42,272,3200,3300,3250,883019,MACHO DE 1a
16,2013-12-05,2 1/4,MC,77,297,3140,3240,3193,950318,MACHO DE 1a
17,2013-12-05,2 1/2,MC,1,328,3240,3240,3240,1062720,MACHO DE 1a
18,2013-12-05,3,MC,3,434,3040,3040,3040,1319360,MACHO DE 1a
19,2013-12-05,XX,TO,10,523,2880,3080,2953,1579212,MACHO DE 1a
20,2013-12-05,DEST,HL,3,87,2600,2600,2600,225333,HEMBRA DE 2a
21,2013-12-05,2,HV,3,268,2650,2650,2650,710200,HEMBRA DE 2a
22,2013-12-05,2 1/4,HV,1,284,2620,2620,2620,744080,HEMBRA DE 2a
23,2013-12-05,XX,VE,31,370,2200,2640,2426,900628,HEMBRA DE 2a
24,2013-12-05,DEST,ML,11,117,2800,3350,2983,375973,MACHO DE 2a
25,2013-12-05,1,ML,40,141,3300,3400,3350,474680,MACHO DE 2a
26,2013-12-05,1 1/4,ML,35,161,3000,3400,3200,535600,MACHO DE 2a
27,2013-12-05,1 1/2,ML,257,200,2400,3400,3176,645321,MACHO DE 2a
28,2013-12-05,1 3/4,ML,177,233,2800,3250,3135,730954,MACHO DE 2a
0,2013-12-05,2,MC,85,270,2600,3250,3061,862568,MACHO DE 2a
1,2013-12-05,2 1/4,MC,67,307,2800,3140,3010,935921,MACHO DE 2a
2,2013-12-05,2 1/2,MC,20,323,2500,3060,2853,962964,MACHO DE 2a
3,2013-12-05,2 3/4,MC,2,372,3000,3000,3000,1116000,MACHO DE 2a
4,2013-12-05,XX,TO,1,628,2500,2500,2500,1570000,MACHO DE 2a
0,2013-12-10,1 1/4,HL,15,169,2650,2650,2650,448027,HEMBRA DE 1a
1,2013-12-10,2 1/2,HV,5,356,2680,2680,2680,954080,HEMBRA DE 1a
2,2013-12-10,2 3/4,HV,5,384,2680,2820,2750,1060864,HEMBRA DE 1a
3,2013-12-10,3,HV,4,402,2860,2860,2860,1148290,HEMBRA DE 1a
4,2013-12-10,XX,VE,58,475,2460,2820,2666,1262682,HEMBRA DE 1a
5,2013-12-10,XX,TO,1,546,2860,2860,2860,1561560,MACHO DE 1a
6,2013-12-10,1,HL,16,130,2500,2500,2500,325000,HEMBRA DE 2a
7,2013-12-10,XX,VE,31,408,1800,2620,2419,977940,HEMBRA DE 2a
0,2013-12-12,2 1/2,HV,5,344,1200000,1200000,1200000,1200000,HEMBRA DE 1a
1,2013-12-12,DEST,HL,4,126,2650,2650,2650,335225,HEMBRA DE 1a
2,2013-12-12,1,HL,21,134,2600,2750,2675,361400,HEMBRA DE 1a
3,2013-12-12,1 1/4,HL,65,163,2600,2850,2717,442763,HEMBRA DE 1a
4,2013-12-12,1 1/2,HL,13,186,2550,2900,2717,511892,HEMBRA DE 1a
5,2013-12-12,1 3/4,HL,8,234,2400,2750,2600,622550,HEMBRA DE 1a
6,2013-12-12,2,HV,36,267,2600,2680,2645,706303,HEMBRA DE 1a
7,2013-12-12,2 1/4,HV,1,280,2660,2660,2660,744800,HEMBRA DE 1a
8,2013-12-12,2 1/2,HV,4,351,2660,2660,2660,933660,HEMBRA DE 1a
9,2013-12-12,2 3/4,HV,4,368,2680,2780,2730,1013540,HEMBRA DE 1a
10,2013-12-12,3,HV,1,502,2700,2700,2700,1355400,HEMBRA DE 1a
11,2013-12-12,XX,VE,81,444,2460,2850,2633,1157513,HEMBRA DE 1a
12,2013-12-12,XX,VP,5,526,2400,2500,2450,1306640,HEMBRA DE 1a
13,2013-12-12,DEST,ML,25,124,3550,3700,3625,449552,MACHO DE 1a
14,2013-12-12,1,ML,26,133,3400,3550,3475,453281,MACHO DE 1a
15,2013-12-12,1 1/4,ML,75,162,3450,3650,3508,572699,MACHO DE 1a
16,2013-12-12,1 1/2,ML,76,211,3300,3550,3410,722684,MACHO DE 1a
17,2013-12-12,1 3/4,ML,12,246,3300,3300,3300,810700,MACHO DE 1a
18,2013-12-12,2,MC,22,250,3350,3350,3350,837195,MACHO DE 1a
19,2013-12-12,2 1/4,MC,29,301,3100,3200,3150,955672,MACHO DE 1a
20,2013-12-12,2 1/2,MC,34,328,3000,3200,3100,1015671,MACHO DE 1a
21,2013-12-12,2 3/4,MC,6,395,3060,3060,3060,1207680,MACHO DE 1a
22,2013-12-12,XX,TO,1,776,2920,2920,2920,2265920,MACHO DE 1a
23,2013-12-12,1 1/4,HL,1,152,2000,2000,2000,304000,HEMBRA DE 2a
24,2013-12-12,XX,VE,26,378,2360,2600,2491,954317,HEMBRA DE 2a
25,2013-12-12,DEST,ML,14,110,2500,3100,2850,325186,MACHO DE 2a
26,2013-12-12,1,ML,24,138,3050,3300,3188,441508,MACHO DE 2a
27,2013-12-12,1 1/4,ML,75,176,3150,3400,3275,574975,MACHO DE 2a
0,2013-12-12,1 1/2,ML,150,198,2950,3300,3150,638833,MACHO DE 2a
1,2013-12-12,1 3/4,ML,116,228,2900,3350,3244,754836,MACHO DE 2a
2,2013-12-12,2,MC,101,260,3100,3350,3212,846996,MACHO DE 2a
3,2013-12-12,2 1/4,MC,21,312,3040,3120,3080,953173,MACHO DE 2a
4,2013-12-12,2 1/2,MC,74,330,2600,3240,2960,1006891,MACHO DE 2a
0,2014-01-07,,HL,5,126,2700,2700,2700,340200,HEMBRA DE PRIMERA
1,2014-01-07,1 1/2,HL,9,193,2700,2700,2700,520209,HEMBRA DE PRIMERA
2,2014-01-07,2 1/2,HV,16,336,2880,2880,2880,969120,HEMBRA DE PRIMERA
3,2014-01-07,2 1/4,HL,7,283,2600,2600,2600,736918,HEMBRA DE PRIMERA
4,2014-01-07,2 3/4,HV,7,383,2800,2800,2800,1071196,HEMBRA DE PRIMERA
5,2014-01-07,2 3/4,VE,5,390,2500,2500,2500,976000,HEMBRA DE PRIMERA
6,2014-01-07,3,HV,1,480,2600,2600,2600,1248000,HEMBRA DE PRIMERA
7,2014-01-07,3,VE,48,503,2400,2840,2696,1355084,HEMBRA DE PRIMERA
8,2014-01-07,3,BM,9,429,2740,2740,2740,1175761,MACHO DE PRIMERA
9,2014-01-07,3,MC,26,437,2900,3100,2988,1307526,MACHO DE PRIMERA
10,2014-01-07,1 1/3,HL,25,234,2750,2750,2750,643500,HEMBRA DE SEGUNDA
11,2014-01-07,1 1/4,HL,26,174,2600,2750,2675,464490,HEMBRA DE SEGUNDA
12,2014-01-07,2 1/2,VE,9,345,1700,2460,2187,751923,HEMBRA DE SEGUNDA
13,2014-01-07,2 3/4,HV,4,398,2860,2860,2860,1138280,HEMBRA DE SEGUNDA
14,2014-01-07,2 3/4,VE,6,393,2500,2500,2500,983325,HEMBRA DE SEGUNDA
15,2014-01-07,3,VE,14,438,1400,2640,2185,967670,HEMBRA DE SEGUNDA
0,2014-01-09,1,HL,3,134,2700,2700,2700,361800,HEMBRA DE PRIMERA
1,2014-01-09,1 1/2,HL,20,196,2650,3750,3067,598595,HEMBRA DE PRIMERA
2,2014-01-09,1 1/3,HL,25,244,2750,2750,2750,671825,HEMBRA DE PRIMERA
3,2014-01-09,1 1/4,HL,25,165,2650,2750,2700,445781,HEMBRA DE PRIMERA
4,2014-01-09,2,HV,10,253,2800,2800,2800,707280,HEMBRA DE PRIMERA
5,2014-01-09,2 1/4,HV,19,310,2600,2740,2670,829304,HEMBRA DE PRIMERA
6,2014-01-09,2 3/4,HV,1,360,2740,2740,2740,986400,HEMBRA DE PRIMERA
7,2014-01-09,2 3/4,VP,1,380,2560,2560,2560,972800,HEMBRA DE PRIMERA
8,2014-01-09,3,VE,39,446,2380,2800,2605,1162757,HEMBRA DE PRIMERA
9,2014-01-09,1 1/2,ML,96,196,3500,3750,3640,715603,MACHO DE PRIMERA
10,2014-01-09,1 1/3,MC,3,229,3400,3400,3400,779722,MACHO DE PRIMERA
11,2014-01-09,1 1/3,ML,60,236,3300,3550,3400,800755,MACHO DE PRIMERA
12,2014-01-09,1 1/4,ML,37,158,3500,3600,3550,560752,MACHO DE PRIMERA
13,2014-01-09,2,MC,43,261,3250,3400,3325,866464,MACHO DE PRIMERA
14,2014-01-09,2 1/2,MC,37,334,3100,3220,3180,1061856,MACHO DE PRIMERA
15,2014-01-09,2 1/4,MC,44,311,3200,3380,3267,1017891,MACHO DE PRIMERA
16,2014-01-09,2 3/4,MC,47,387,3060,3200,3128,1209186,MACHO DE PRIMERA
17,2014-01-09,,HL,7,126,3250,3250,3250,409500,HEMBRA DE SEGUNDA
18,2014-01-09,1 1/2,HL,2,214,2550,2550,2550,545700,HEMBRA DE SEGUNDA
19,2014-01-09,1 1/4,HL,2,154,2750,2750,2750,423500,HEMBRA DE SEGUNDA
20,2014-01-09,2,HV,3,262,2600,2600,2600,681200,HEMBRA DE SEGUNDA
21,2014-01-09,2 1/4,VE,7,312,2250,2450,2347,733557,HEMBRA DE SEGUNDA
22,2014-01-09,2 3/4,VE,16,390,2460,2660,2587,1009271,HEMBRA DE SEGUNDA
23,2014-01-09,3,VE,21,433,2460,2700,2576,1114690,HEMBRA DE SEGUNDA
0,2014-01-09,3,VP,6,482,2340,2540,2440,1176147,HEMBRA DE SEGUNDA
1,2014-01-09,,ML,6,127,3150,3150,3150,401090,MACHO DE SEGUNDA
2,2014-01-09,1,ML,5,145,3050,3050,3050,442860,MACHO DE SEGUNDA
3,2014-01-09,1 1/2,ML,101,195,3150,3450,3319,646524,MACHO DE SEGUNDA
4,2014-01-09,1 1/3,ML,23,233,3320,3320,3320,773427,MACHO DE SEGUNDA
5,2014-01-09,1 1/4,ML,46,175,3250,3550,3383,591150,MACHO DE SEGUNDA
6,2014-01-09,2,MC,62,259,2900,3300,3150,813786,MACHO DE SEGUNDA
7,2014-01-09,2,ML,9,277,3100,3200,3150,872200,MACHO DE SEGUNDA
8,2014-01-09,2 1/2,MC,22,341,2940,3180,3053,1039884,MACHO DE SEGUNDA
9,2014-01-09,2 1/4,MC,58,298,3180,3280,3227,962098,MACHO DE SEGUNDA
10,2014-01-09,2 1/4,ML,2,305,3060,3060,3060,933300,MACHO DE SEGUNDA
11,2014-01-09,2 3/4,MC,18,395,3060,3060,3060,1207354,MACHO DE SEGUNDA
0,2014-01-14,2 1/2,HV,7,350,2540,2600,2570,900360,HEMBRA DE PRIMERA
1,2014-01-14,2 1/2,VE,5,358,2540,2540,2540,908304,HEMBRA DE PRIMERA
2,2014-01-14,2 3/4,HV,2,364,2600,2600,2600,946400,HEMBRA DE PRIMERA
3,2014-01-14,2 3/4,VE,5,372,2600,2600,2600,967200,HEMBRA DE PRIMERA
4,2014-01-14,3,HV,1,406,2640,2640,2640,1071840,HEMBRA DE PRIMERA
5,2014-01-14,3,VE,47,487,2560,2880,2732,1334182,HEMBRA DE PRIMERA
6,2014-01-14,3,MC,15,439,2900,3000,2950,1293753,MACHO DE PRIMERA
7,2014-01-14,3,TO,15,563,2600,2980,2790,1548629,MACHO DE PRIMERA
8,2014-01-14,2 3/4,VE,4,381,2600,2600,2600,990600,HEMBRA DE SEGUNDA
9,2014-01-14,3,VE,18,448,1800,2640,2400,1078912,HEMBRA DE SEGUNDA
10,2014-01-14,3,TO,15,482,2800,2920,2860,1375632,MACHO DE SEGUNDA
0,2014-01-16,1,HL,1,144,2750,2750,2750,396000,HEMBRA DE PRIMERA
1,2014-01-16,1 1/2,HL,21,195,2600,2700,2650,517100,HEMBRA DE PRIMERA
2,2014-01-16,1 1/3,HL,5,236,2450,2800,2650,624097,HEMBRA DE PRIMERA
3,2014-01-16,1 1/4,HL,17,160,2600,2600,2600,415090,HEMBRA DE PRIMERA
4,2014-01-16,2,HL,21,254,3100,3100,3100,786811,HEMBRA DE PRIMERA
5,2014-01-16,2 1/2,HV,6,328,2660,2780,2720,892735,HEMBRA DE PRIMERA
6,2014-01-16,2 1/2,VE,5,352,2440,2440,2440,859856,HEMBRA DE PRIMERA
7,2014-01-16,2 1/4,HV,2,289,2700,2700,2700,780300,HEMBRA DE PRIMERA
8,2014-01-16,2 3/4,VE,19,380,2580,2780,2652,1009288,HEMBRA DE PRIMERA
9,2014-01-16,3,VE,124,445,2460,2780,2640,1175304,HEMBRA DE PRIMERA
10,2014-01-16,3,VP,9,438,2600,2650,2633,1151972,HEMBRA DE PRIMERA
11,2014-01-16,,ML,9,126,3450,3600,3525,444878,MACHO DE PRIMERA
12,2014-01-16,1,ML,43,145,3550,3750,3650,530983,MACHO DE PRIMERA
13,2014-01-16,1 1/2,ML,297,197,3250,3600,3487,685208,MACHO DE PRIMERA
14,2014-01-16,1 1/3,MC,21,233,3450,3450,3450,805334,MACHO DE PRIMERA
15,2014-01-16,1 1/3,ML,37,243,3300,3400,3333,808731,MACHO DE PRIMERA
16,2014-01-16,1 1/4,ML,26,160,3300,3450,3400,543456,MACHO DE PRIMERA
17,2014-01-16,2,MC,22,250,3450,3450,3450,863121,MACHO DE PRIMERA
18,2014-01-16,2,ML,63,267,3200,3360,3276,874294,MACHO DE PRIMERA
19,2014-01-16,2 1/4,MC,92,294,3140,3400,3267,962336,MACHO DE PRIMERA
20,2014-01-16,2 3/4,MC,4,376,3180,3180,3180,1197270,MACHO DE PRIMERA
21,2014-01-16,3,TO,2,486,2960,3120,3040,1481920,MACHO DE PRIMERA
0,2014-01-16,,HL,3,98,2500,2850,2675,263200,HEMBRA DE SEGUNDA
1,2014-01-16,1,HL,8,138,2850,2850,2850,392588,HEMBRA DE SEGUNDA
2,2014-01-16,2 1/2,VE,15,341,2300,2520,2433,829397,HEMBRA DE SEGUNDA
3,2014-01-16,2 1/4,HV,12,286,2500,2700,2600,742714,HEMBRA DE SEGUNDA
4,2014-01-16,2 1/4,VE,2,309,2550,2550,2550,787950,HEMBRA DE SEGUNDA
5,2014-01-16,2 3/4,VE,25,369,2200,2580,2475,913073,HEMBRA DE SEGUNDA
6,2014-01-16,3,VE,6,410,2260,2600,2430,995166,HEMBRA DE SEGUNDA
7,2014-01-16,,ML,32,114,3150,3450,3292,375100,MACHO DE SEGUNDA
8,2014-01-16,1,ML,41,139,3050,3450,3300,458871,MACHO DE SEGUNDA
9,2014-01-16,1 1/2,MC,2,216,3250,3250,3250,702000,MACHO DE SEGUNDA
10,2014-01-16,1 1/2,ML,234,200,2900,3500,3279,653937,MACHO DE SEGUNDA
11,2014-01-16,1 1/3,ML,107,238,3150,3400,3256,773463,MACHO DE SEGUNDA
12,2014-01-16,1 1/4,ML,58,171,2800,3400,3175,540707,MACHO DE SEGUNDA
13,2014-01-16,2,MC,34,258,3100,3320,3240,834793,MACHO DE SEGUNDA
14,2014-01-16,2,ML,48,269,3240,3280,3257,875917,MACHO DE SEGUNDA
15,2014-01-16,2 1/4,MC,70,293,2900,3280,3158,926160,MACHO DE SEGUNDA
16,2014-01-16,2 1/4,ML,27,288,3000,3240,3122,898269,MACHO DE SEGUNDA
0,2014-01-21,3,VE,29,493,2640,2820,2723,1344299,HEMBRA DE PRIMERA
1,2014-01-21,1 1/4,ML,10,163,3350,3350,3350,546720,MACHO DE PRIMERA
2,2014-01-21,2 3/4,HV,2,386,2600,2600,2600,1003600,HEMBRA DE SEGUNDA
3,2014-01-21,2 3/4,VE,9,393,2440,2500,2460,966243,HEMBRA DE SEGUNDA
4,2014-01-21,3,VE,12,416,2620,2660,2640,1099167,HEMBRA DE SEGUNDA
5,2014-01-21,3,MC,5,423,2860,2860,2860,1210352,MACHO DE SEGUNDA
6,2014-01-21,3,TO,1,662,2680,2680,2680,1774160,MACHO DE SEGUNDA
0,2014-01-23,,HL,8,122,2700,2700,2700,329400,HEMBRA DE PRIMERA
1,2014-01-23,1,HL,8,136,2700,2800,2750,374712,HEMBRA DE PRIMERA
2,2014-01-23,1 1/2,HL,44,196,2650,2800,2717,532061,HEMBRA DE PRIMERA
3,2014-01-23,1 1/3,HL,32,230,2200,2850,2640,607691,HEMBRA DE PRIMERA
4,2014-01-23,1 1/4,HL,13,160,2650,2650,2650,425219,HEMBRA DE PRIMERA
5,2014-01-23,2,HV,16,261,2550,2660,2603,679240,HEMBRA DE PRIMERA
6,2014-01-23,2 1/2,VE,1,344,2240,2240,2240,770560,HEMBRA DE PRIMERA
7,2014-01-23,2 1/4,HV,2,297,2700,2700,2700,801900,HEMBRA DE PRIMERA
8,2014-01-23,2 3/4,HV,1,384,2760,2760,2760,1059840,HEMBRA DE PRIMERA
9,2014-01-23,2 3/4,VE,4,386,2580,2840,2710,1045800,HEMBRA DE PRIMERA
10,2014-01-23,3,VE,42,433,2100,2760,2571,1114597,HEMBRA DE PRIMERA
11,2014-01-23,3,VP,10,453,2450,2450,2450,1110340,HEMBRA DE PRIMERA
12,2014-01-23,,ML,30,122,3100,3750,3425,418057,MACHO DE PRIMERA
13,2014-01-23,1,ML,7,148,3700,3700,3700,548673,MACHO DE PRIMERA
14,2014-01-23,1 1/2,MC,22,200,3200,3200,3200,638560,MACHO DE PRIMERA
15,2014-01-23,1 1/2,ML,149,204,3200,3600,3430,700725,MACHO DE PRIMERA
16,2014-01-23,1 1/3,ML,104,236,3400,3450,3420,806360,MACHO DE PRIMERA
17,2014-01-23,1 1/4,ML,101,159,3400,3850,3567,566441,MACHO DE PRIMERA
18,2014-01-23,2,MC,25,258,3200,3400,3288,849655,MACHO DE PRIMERA
19,2014-01-23,2 1/2,MC,3,336,3160,3160,3160,1061760,MACHO DE PRIMERA
20,2014-01-23,2 1/4,MC,20,316,3260,3260,3260,1030812,MACHO DE PRIMERA
21,2014-01-23,3,MC,18,402,2960,2960,2960,1191222,MACHO DE PRIMERA
22,2014-01-23,3,TO,3,618,2800,3160,2987,1834693,MACHO DE PRIMERA
0,2014-01-23,1 1/4,HL,3,179,2600,2600,2600,464542,HEMBRA DE SEGUNDA
1,2014-01-23,2 1/2,VE,11,341,1600,2480,2235,767440,HEMBRA DE SEGUNDA
2,2014-01-23,2 1/4,HV,2,299,2250,2560,2405,718320,HEMBRA DE SEGUNDA
3,2014-01-23,2 3/4,VE,6,371,2200,2440,2327,862693,HEMBRA DE SEGUNDA
4,2014-01-23,3,VE,8,434,2360,2600,2460,1068230,HEMBRA DE SEGUNDA
5,2014-01-23,,ML,9,128,3150,3150,3150,403893,MACHO DE SEGUNDA
6,2014-01-23,1,ML,7,136,3350,3350,3350,454628,MACHO DE SEGUNDA
7,2014-01-23,1 1/2,MC,20,196,3250,3250,3250,638300,MACHO DE SEGUNDA
8,2014-01-23,1 1/2,ML,282,201,2950,3500,3268,657128,MACHO DE SEGUNDA
9,2014-01-23,1 1/3,ML,177,230,2950,3450,3221,740756,MACHO DE SEGUNDA
10,2014-01-23,1 1/4,ML,56,168,3000,3550,3330,558933,MACHO DE SEGUNDA
11,2014-01-23,2,MC,84,264,2800,3250,3149,830595,MACHO DE SEGUNDA
12,2014-01-23,2,ML,20,253,3300,3300,3300,834570,MACHO DE SEGUNDA
13,2014-01-23,2 1/2,MC,20,323,3240,3240,3240,1046520,MACHO DE SEGUNDA
14,2014-01-23,2 1/4,MC,61,304,3050,3250,3178,967434,MACHO DE SEGUNDA
15,2014-01-23,2 1/4,ML,6,282,2760,2800,2780,785024,MACHO DE SEGUNDA
16,2014-01-23,3,MC,18,403,2940,2940,2940,1184173,MACHO DE SEGUNDA
0,2014-01-28,2 3/4,VE,7,390,2580,2580,2580,1006200,HEMBRA DE PRIMERA
1,2014-01-28,3,VE,22,437,2500,2860,2708,1183568,HEMBRA DE PRIMERA
2,2014-01-28,2,MC,14,263,3220,3220,3220,845926,MACHO DE PRIMERA
3,2014-01-28,3,MC,8,449,2940,2940,2940,1319325,MACHO DE PRIMERA
4,2014-01-28,3,TO,5,533,3120,3120,3120,1662336,MACHO DE PRIMERA
5,2014-01-28,2 3/4,VE,9,378,2300,2540,2427,917650,HEMBRA DE SEGUNDA
6,2014-01-28,3,VE,21,423,2260,2600,2470,1044243,HEMBRA DE SEGUNDA
7,2014-01-28,1 1/3,ML,6,230,3050,3050,3050,702506,MACHO DE SEGUNDA
8,2014-01-28,3,MC,7,433,2940,2940,2940,1271756,MACHO DE SEGUNDA
9,2014-01-28,3,TO,2,606,2760,3040,2900,1742560,MACHO DE SEGUNDA
0,2014-01-30,,HL,23,112,2700,2950,2812,316377,HEMBRA DE PRIMERA
1,2014-01-30,1,HL,8,142,2850,2850,2850,406125,HEMBRA DE PRIMERA
2,2014-01-30,1 1/2,HL,11,205,2650,2700,2675,548400,HEMBRA DE PRIMERA
3,2014-01-30,1 1/3,HL,1,248,2660,2660,2660,659680,HEMBRA DE PRIMERA
4,2014-01-30,1 1/4,HL,29,168,2600,2700,2638,442120,HEMBRA DE PRIMERA
5,2014-01-30,2,HV,36,264,2600,2680,2647,700110,HEMBRA DE PRIMERA
6,2014-01-30,2 1/2,VE,5,356,2600,2600,2600,924560,HEMBRA DE PRIMERA
7,2014-01-30,2 1/4,HV,14,300,2620,2620,2620,785568,HEMBRA DE PRIMERA
8,2014-01-30,2 3/4,HV,53,382,2680,2760,2730,1042332,HEMBRA DE PRIMERA
9,2014-01-30,2 3/4,VE,12,385,2620,2680,2650,1020055,HEMBRA DE PRIMERA
10,2014-01-30,3,VE,33,459,2500,2780,2647,1216492,HEMBRA DE PRIMERA
11,2014-01-30,3,VP,4,437,2640,2640,2640,1153680,HEMBRA DE PRIMERA
12,2014-01-30,,ML,3,106,3300,3300,3300,349800,MACHO DE PRIMERA
13,2014-01-30,1 1/2,ML,112,200,3250,3550,3333,666166,MACHO DE PRIMERA
14,2014-01-30,1 1/3,ML,76,225,3250,3400,3320,745888,MACHO DE PRIMERA
15,2014-01-30,1 1/4,ML,126,163,3300,3500,3379,551763,MACHO DE PRIMERA
16,2014-01-30,2,MC,95,264,3200,3350,3258,859674,MACHO DE PRIMERA
17,2014-01-30,2,ML,20,269,3250,3250,3250,873600,MACHO DE PRIMERA
18,2014-01-30,2 1/2,MC,20,322,3100,3100,3100,997890,MACHO DE PRIMERA
19,2014-01-30,2 1/4,MC,58,292,3140,3200,3167,924978,MACHO DE PRIMERA
20,2014-01-30,2 3/4,MC,18,361,3180,3180,3180,1147980,MACHO DE PRIMERA
21,2014-01-30,3,MC,2,438,3000,3000,3000,1314000,MACHO DE PRIMERA
22,2014-01-30,3,TO,2,648,2720,3060,2890,1848240,MACHO DE PRIMERA
0,2014-01-30,,HL,5,99,2300,3100,2700,262125,HEMBRA DE SEGUNDA
1,2014-01-30,1 1/2,HL,13,218,2500,2500,2500,544625,HEMBRA DE SEGUNDA
2,2014-01-30,1 1/4,HL,4,168,2300,2300,2300,386400,HEMBRA DE SEGUNDA
3,2014-01-30,2 1/2,VE,20,351,2580,2700,2647,928215,HEMBRA DE SEGUNDA
4,2014-01-30,2 3/4,VE,41,382,1600,2620,2442,932539,HEMBRA DE SEGUNDA
5,2014-01-30,3,BH,5,512,2220,2220,2220,1137528,HEMBRA DE SEGUNDA
6,2014-01-30,3,VE,17,457,1850,2760,2518,1154893,HEMBRA DE SEGUNDA
7,2014-01-30,3,VP,1,488,2260,2260,2260,1102880,HEMBRA DE SEGUNDA
8,2014-01-30,,ML,18,111,2400,3250,2910,327516,MACHO DE SEGUNDA
9,2014-01-30,1,ML,23,138,3100,3350,3183,438208,MACHO DE SEGUNDA
10,2014-01-30,1 1/2,ML,144,195,2300,3400,3089,603076,MACHO DE SEGUNDA
11,2014-01-30,1 1/3,ML,148,233,2900,3350,3092,720795,MACHO DE SEGUNDA
12,2014-01-30,1 1/4,ML,133,164,3000,3300,3212,528084,MACHO DE SEGUNDA
13,2014-01-30,2,MC,86,264,3050,3260,3135,828727,MACHO DE SEGUNDA
14,2014-01-30,2,ML,42,256,2940,3120,3030,776272,MACHO DE SEGUNDA
15,2014-01-30,2 1/2,MC,58,347,2800,3140,3040,1056230,MACHO DE SEGUNDA
16,2014-01-30,2 1/4,MC,185,299,3020,3200,3126,933666,MACHO DE SEGUNDA
17,2014-01-30,2 3/4,MC,2,375,3060,3060,3060,1147500,MACHO DE SEGUNDA
18,2014-01-30,2 3/4,TO,1,396,2740,2740,2740,1085040,MACHO DE SEGUNDA
19,2014-01-30,3,TO,3,548,2080,2680,2380,1273040,MACHO DE SEGUNDA
0,2014-02-04,1 1/4,HL,5,178,2600,2600,2600,461760,HEMBRA DE PRIMERA
1,2014-02-04,2 1/2,HV,3,339,2760,2760,2760,936551,HEMBRA DE PRIMERA
2,2014-02-04,2 3/4,HV,16,379,2700,2720,2713,1029126,HEMBRA DE PRIMERA
3,2014-02-04,2 3/4,VE,5,377,2580,2580,2580,973176,HEMBRA DE PRIMERA
4,2014-02-04,2 3/4,VP,1,362,2500,2500,2500,905000,HEMBRA DE PRIMERA
5,2014-02-04,3,HV,5,459,2820,2900,2860,1315592,HEMBRA DE PRIMERA
6,2014-02-04,3,VE,64,491,2520,2840,2680,1317073,HEMBRA DE PRIMERA
7,2014-02-04,3,VP,10,549,2550,2550,2550,1400970,HEMBRA DE PRIMERA
8,2014-02-04,1 1/2,ML,57,203,3350,3550,3417,695005,MACHO DE PRIMERA
9,2014-02-04,3,MC,6,467,2940,3080,3007,1405973,MACHO DE PRIMERA
10,2014-02-04,3,TO,11,637,2760,3220,2952,1866490,MACHO DE PRIMERA
11,2014-02-04,,HL,25,112,2850,2950,2917,327734,HEMBRA DE SEGUNDA
12,2014-02-04,2,HL,2,261,2600,2600,2600,678600,HEMBRA DE SEGUNDA
13,2014-02-04,2 1/2,HV,2,347,2600,2600,2600,902200,HEMBRA DE SEGUNDA
14,2014-02-04,2 1/2,VE,4,344,1900,2500,2200,753500,HEMBRA DE SEGUNDA
15,2014-02-04,2 1/4,VE,1,318,2450,2450,2450,779100,HEMBRA DE SEGUNDA
16,2014-02-04,2 3/4,HV,3,369,2540,2540,2540,938098,HEMBRA DE SEGUNDA
17,2014-02-04,2 3/4,VE,11,390,2480,2660,2580,1006084,HEMBRA DE SEGUNDA
18,2014-02-04,3,VE,36,477,1900,2700,2393,1143522,HEMBRA DE SEGUNDA
0,2014-02-04,1,ML,31,141,3150,3300,3225,454681,MACHO DE SEGUNDA
